Joint 1_st,Joint 2_st,Joint 3_st,Joint 4_st,Joint 1_sw,Joint 2_sw,Joint 3_sw,Joint 4_sw,Joint 5_st,Joint 6_st,Joint 7_st,Joint 8_st,Joint 5_sw,Joint 6_sw,Joint 7_sw,Joint 8_sw
32.30283138,5.889746254,25.46399148,9.241802278,-15.77302962,21.53659998,-42.64077744,-18.39137429,53.20247164,-21.62537866,6.383032267,56.20513856,-51.77945145,-4.928911736,-65.93922256,60.65276399
18.46805066,2.913827135,31.05594073,-1.48546237,-19.88032778,19.62484194,-54.67759903,-14.42874864,49.91467567,-15.91525831,-6.810940264,44.19883109,-65.68696791,-10.14710265,-78.40345838,66.40450563
4.094429927,-0.223179923,36.86568643,-13.55714274,-23.83098935,17.10900696,-64.75877583,-9.094626555,44.5409309,-14.48545701,-13.0696778,28.8779632,-70.79224271,-1.315490683,-73.26237652,69.74253379
4.371453288,0.010749604,35.42390284,-14.79112215,-24.66876525,15.34004846,-67.34360536,-3.197576727,34.81824276,-4.354743565,-20.09927085,7.283027094,-75.09744831,1.288197623,-70.49168565,66.46265704
5.070956227,0.895800954,31.52630699,-15.04861801,-21.60326252,15.16594493,-62.0626987,5.125145019,23.04615031,-3.414477746,-24.65933421,-5.901277554,-74.39532978,-0.5533234,-74.26062229,57.485629
5.857294252,2.624712601,26.10899112,-15.1003431,-15.11463704,16.56698934,-50.93642468,16.54196579,12.96152734,-13.78923142,-32.32290592,-9.428566088,-62.58336812,1.029148248,-80.05344303,46.4675694
6.409482019,5.39599972,20.10332769,-15.70692777,-6.280871304,18.62151849,-36.4728968,28.77160623,-7.762351473,-4.471713742,-32.65807471,-18.37201009,-37.96038485,9.904519275,-80.50596282,37.72907323
3.472645723,12.55762255,13.70946987,-27.86849198,3.672363016,19.80208225,-20.64550284,36.93793166,-16.33531022,-4.971928744,-44.33871063,-10.94153693,-5.505587959,21.74178841,-69.95713944,34.503008
-6.913541681,23.48902132,1.77974702,-54.8829878,13.59925744,18.60205272,-4.749977154,36.03504372,-32.86759884,-3.395309273,-47.87901792,4.184904788,24.8599408,25.697604,-47.71570412,37.50099909
-11.37879956,22.55244623,-20.84901502,-36.55088169,22.4388342,14.49267336,9.85898429,25.50261258,-39.20348999,-0.437364627,-39.90984674,20.30149673,44.0293174,11.99099181,-20.04183836,43.79860325
-13.12571075,21.71734898,-34.75604967,-20.20505768,28.99732875,9.210547962,20.15156619,15.91144962,-39.62407388,-0.215460135,-33.98952324,28.24005131,53.4834856,-14.63474682,-0.843896794,46.03917013
